student_id,activity_name,activity_category,registration_date,role,activity_level,hours_per_week,total_events_participated,achievement,status,faculty_coordinator
1,Alumni Relations,Other,2025-08-11,Active Member,Medium,5,4,Winner - Intra College Competition,Active,Prof. Mehta
1,Badminton Club,Sports,2025-08-15,Member,High,7,5,,Active,Prof. Sharma
1,Rotaract Club,Social,2025-08-31,Active Member,High,9,6,,Inactive,Prof. Sharma
2,Innovation Club,Academic,2025-08-08,Member,High,7,10,,Active,Prof. Reddy
2,Chess Club,Sports,2025-08-25,Member,High,6,6,,Active,Prof. Sharma
3,Literary Club,Cultural,2025-08-21,Member,High,7,6,,Active,Prof. Mehta
4,Paper Presentation Team,Academic,2025-08-24,Member,Low,2,1,Certificate of Excellence,Active,Prof. Gupta
5,Quiz Club,Academic,2025-08-21,Member,Medium,3,4,,Active,Prof. Sharma
7,Volleyball Team,Sports,2025-08-22,Active Member,Medium,5,2,Participation Certificate,Active,Prof. Sharma
7,Student Council,Other,2025-08-18,Active Member,Medium,4,3,,Active,Prof. Mehta
7,Photography Club,Cultural,2025-08-27,Member,Medium,4,4,,Inactive,Prof. Sharma
9,Photography Club,Cultural,2025-08-15,Core Team,Very High,13,14,,Active,Prof. Mehta
9,Alumni Relations,Other,2025-08-21,Core Team,High,9,7,Certificate of Excellence,Inactive,Prof. Sharma
9,IoT Club,Technical,2025-08-19,Member,Low,3,1,,Active,Prof. Mehta
9,NCC (National Cadet Corps),Social,2025-08-23,Active Member,High,7,5,,Active,Prof. Reddy
10,Mathematics Club,Academic,2025-08-11,Member,Low,3,2,,Active,Prof. Sharma
11,Cybersecurity Club,Technical,2025-08-17,Member,Medium,3,5,,Active,Prof. Gupta
11,Science Club,Academic,2025-08-26,Member,Low,2,0,,Active,Prof. Gupta
12,Mathematics Club,Academic,2025-08-06,Active Member,High,6,6,,Active,Prof. Mehta
12,Drama Club,Cultural,2025-08-25,Active Member,High,6,10,,Active,Prof. Gupta
15,College Magazine,Other,2025-08-26,Member,Medium,6,2,,Active,Prof. Reddy
15,Science Club,Academic,2025-08-23,Active Member,High,8,10,,Active,Prof. Sharma
16,Paper Presentation Team,Academic,2025-08-10,Active Member,Medium,3,2,,Inactive,Prof. Mehta
16,Event Management Team,Other,2025-08-13,Member,High,7,9,,Active,Prof. Reddy
17,NCC (National Cadet Corps),Social,2025-08-10,Member,Low,3,0,,Active,Prof. Gupta
18,Research Club,Academic,2025-08-04,Member,High,8,5,,Active,Prof. Gupta
18,Literary Club,Cultural,2025-08-05,Member,Medium,4,3,,Active,Prof. Reddy
20,Cybersecurity Club,Technical,2025-08-06,President/Head,Very High,11,14,,Active,Prof. Mehta
20,College Magazine,Other,2025-08-12,Active Member,High,8,9,,Active,Prof. Mehta
20,Debating Society,Cultural,2025-08-22,Member,Medium,6,4,Winner - Intra College Competition,Active,Prof. Reddy
22,Innovation Club,Academic,2025-08-30,Active Member,High,6,6,,Inactive,Prof. Reddy
23,Chess Club,Sports,2025-08-29,Member,Low,2,2,,Active,Prof. Mehta
24,Table Tennis Club,Sports,2025-08-19,Core Team,Very High,12,20,,Active,Prof. Mehta
24,NSS (National Service Scheme),Social,2025-08-25,Coordinator,Very High,13,13,,Active,Prof. Sharma
24,Debating Society,Cultural,2025-08-18,Member,Medium,6,4,,Active,Prof. Reddy
25,Event Management Team,Other,2025-08-12,Core Team,High,10,8,,Active,Prof. Sharma
25,Music Club,Cultural,2025-08-07,Member,Low,2,0,,Active,Prof. Mehta
26,Drama Club,Cultural,2025-08-29,Active Member,High,9,5,,Active,Prof. Mehta
