student_id,report_date,behavior_type,behavior,description,reported_by,severity
814,2025-09-19,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
17,2025-10-15,Negative,Irregular Attendance,Missing classes without notice,HOD,High
17,2025-09-14,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
283,2025-10-15,Negative,Distracted in Class,Not paying attention,Prof. Mehta,High
283,2025-09-06,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
147,2025-11-15,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
38,2025-10-13,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
38,2025-10-31,Positive,Punctual,Always on time for classes,HOD,Positive
279,2025-10-03,Negative,Distracted in Class,Not paying attention,HOD,Medium
557,2025-10-26,Positive,Helpful to Peers,Assists other students,HOD,Positive
443,2025-10-02,Negative,Late to Class,Frequently arrives late,Prof. Reddy,High
443,2025-09-23,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
542,2025-09-12,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
159,2025-09-25,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
614,2025-11-23,Negative,Late to Class,Frequently arrives late,Prof. Reddy,Low
762,2025-09-03,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
762,2025-10-29,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Low
762,2025-11-27,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
239,2025-11-11,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
239,2025-10-02,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Low
922,2025-10-28,Positive,Helpful to Peers,Assists other students,HOD,Positive
656,2025-09-15,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
321,2025-11-09,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
321,2025-10-20,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
173,2025-11-04,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,High
173,2025-09-17,Positive,Punctual,Always on time for classes,HOD,Positive
173,2025-09-06,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Low
27,2025-10-28,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
27,2025-11-25,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
27,2025-10-28,Negative,Irregular Attendance,Missing classes without notice,HOD,High
485,2025-10-03,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
896,2025-09-21,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
896,2025-10-20,Positive,Good Team Player,Works well in groups,HOD,Positive
896,2025-10-19,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
676,2025-11-10,Negative,Distracted in Class,Not paying attention,Prof. Mehta,High
676,2025-11-22,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
676,2025-11-17,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Low
195,2025-10-09,Positive,Helpful to Peers,Assists other students,HOD,Positive
195,2025-11-16,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
901,2025-10-05,Negative,Distracted in Class,Not paying attention,Prof. Reddy,High
347,2025-11-04,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
986,2025-10-18,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
763,2025-11-22,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
620,2025-10-21,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
409,2025-11-10,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
277,2025-11-11,Negative,Late to Class,Frequently arrives late,Prof. Sharma,High
